log_id,camera_id,detected_at,object_class,confidence,bbox_x,bbox_y,bbox_width,bbox_height
1,3,2024-06-05 16:48:00,person,0.87,1700,777,45,193
2,2,2024-06-04 02:04:00,person,0.99,220,371,279,231
3,3,2024-06-02 15:52:00,vehicle,0.953,192,773,103,237
4,3,2024-06-03 03:40:00,vehicle,0.898,278,482,140,88
5,2,2024-06-05 20:35:00,person,0.687,1557,303,108,244
6,2,2024-06-03 01:33:00,vehicle,0.817,1181,142,115,215
7,3,2024-06-03 00:20:00,person,0.99,936,21,277,259
8,4,2024-06-07 00:47:00,person,0.635,1388,727,23,25
9,2,2024-06-07 12:42:00,vehicle,0.597,300,731,131,208
10,3,2024-06-03 00:13:00,vehicle,0.701,1042,62,250,26
11,3,2024-06-05 18:04:00,person,0.702,1744,276,293,70
12,3,2024-06-05 14:44:00,unattended_bag,0.925,1036,511,89,209
13,2,2024-06-05 19:19:00,unattended_bag,0.858,1149,127,85,97
14,1,2024-06-07 08:49:00,person,0.593,642,528,257,187
16,3,2024-06-03 11:31:00,person,0.99,1727,16,27,31
17,2,2024-06-04 05:45:00,vehicle,0.823,171,614,60,174
18,2,2024-06-01 17:01:00,vehicle,0.84,98,295,207,283
19,4,2024-06-01 16:52:00,person,0.824,725,285,102,108
20,1,2024-06-04 05:15:00,vehicle,0.443,920,832,298,103
21,1,2024-06-07 22:48:00,person,0.889,244,494,138,106
22,2,2024-06-04 02:06:00,person,0.694,1136,436,93,119
24,4,2024-06-02 07:48:00,person,0.744,225,91,282,152
25,2,2024-06-03 02:09:00,person,0.928,1655,703,215,216
26,4,2024-06-01 10:41:00,person,0.819,762,320,190,280
27,4,2024-06-03 09:58:00,person,0.962,908,961,66,100
28,3,2024-06-01 05:24:00,person,0.824,231,232,81,129
29,4,2024-06-06 04:00:00,person,0.907,1530,30,181,282
30,3,2024-06-05 23:24:00,vehicle,0.866,45,737,61,158
31,1,2024-06-04 00:29:00,person,0.728,1554,132,149,68
32,4,2024-06-07 02:58:00,vehicle,0.724,1472,154,278,234
33,1,2024-06-01 07:47:00,person,0.742,986,771,229,251
34,1,2024-06-05 07:26:00,vehicle,0.735,725,115,245,194
36,2,2024-06-04 15:23:00,vehicle,0.772,1594,357,135,24
37,1,2024-06-07 01:11:00,person,0.894,379,806,276,89
38,4,2024-06-04 09:55:00,vehicle,0.99,1649,844,110,273
39,3,2024-06-05 01:45:00,person,0.754,1095,616,278,97
40,1,2024-06-06 00:03:00,vehicle,0.853,106,899,217,94
41,2,2024-06-07 13:23:00,vehicle,0.767,870,853,136,50
42,2,2024-06-02 04:10:00,person,0.74,267,826,221,48
43,4,2024-06-02 13:32:00,vehicle,0.622,167,536,220,127
44,4,2024-06-04 02:38:00,person,0.847,1362,266,136,275
45,2,2024-06-02 17:04:00,person,0.61,1077,395,86,256
46,1,2024-06-03 11:50:00,vehicle,0.828,828,653,123,259
47,3,2024-06-06 06:38:00,person,0.99,876,634,30,277
48,1,2024-06-04 14:50:00,vehicle,0.824,685,452,184,173
49,3,2024-06-07 12:59:00,person,0.774,138,316,165,118
50,1,2024-06-02 08:38:00,person,0.844,770,822,74,236
51,3,2024-06-05 09:41:00,person,0.81,1084,349,236,284
52,4,2024-06-01 09:53:00,vehicle,0.642,1243,21,139,268
53,2,2024-06-05 15:12:00,person,0.99,1179,333,49,149
55,3,2024-06-04 05:14:00,person,0.693,1219,356,201,222
56,3,2024-06-01 20:59:00,person,0.757,845,523,93,299
58,4,2024-06-07 17:23:00,person,0.78,1068,337,44,290
59,4,2024-06-06 12:45:00,person,0.788,263,242,114,216
60,1,2024-06-04 18:27:00,person,0.787,368,997,54,33
61,4,2024-06-02 06:47:00,unattended_bag,0.821,1121,67,124,282
62,2,2024-06-02 05:39:00,person,0.702,112,441,78,101
63,4,2024-06-02 04:59:00,person,0.983,479,555,51,20
64,4,2024-06-01 21:31:00,person,0.87,1723,838,212,121
65,1,2024-06-01 06:47:00,vehicle,0.783,242,445,29,275
66,1,2024-06-07 22:30:00,vehicle,0.743,1441,27,125,65
67,3,2024-06-05 07:03:00,vehicle,0.914,644,910,209,123
68,2,2024-06-01 09:49:00,person,0.814,1105,463,107,88
69,3,2024-06-07 13:14:00,person,0.715,809,717,267,147
70,2,2024-06-04 19:44:00,person,0.88,900,378,110,136
71,1,2024-06-02 20:12:00,vehicle,0.666,1494,571,257,79
72,3,2024-06-07 01:32:00,vehicle,0.83,630,522,116,276
73,1,2024-06-07 03:00:00,person,0.761,415,665,201,195
74,2,2024-06-07 08:09:00,person,0.823,693,230,124,166
75,2,2024-06-01 23:21:00,person,0.679,174,817,233,251
76,1,2024-06-05 23:48:00,vehicle,0.963,469,569,177,22
78,4,2024-06-03 12:58:00,vehicle,0.99,1136,527,260,60
79,3,2024-06-05 01:07:00,vehicle,0.838,539,638,62,21
80,1,2024-06-05 06:43:00,person,0.655,884,55,60,251
81,3,2024-06-05 13:26:00,vehicle,0.801,1523,624,225,73
82,3,2024-06-06 14:54:00,vehicle,0.931,655,783,145,84
83,3,2024-06-04 09:06:00,person,0.774,300,796,240,189
84,2,2024-06-05 16:42:00,person,0.746,1653,658,202,30
85,1,2024-06-06 10:03:00,person,0.553,924,901,48,214
86,2,2024-06-03 02:15:00,vehicle,0.818,1240,747,138,212
87,2,2024-06-07 07:31:00,person,0.632,360,659,31,247
88,3,2024-06-07 23:15:00,person,0.691,1066,840,40,126
89,2,2024-06-01 13:15:00,vehicle,0.732,143,591,253,154
90,1,2024-06-01 23:23:00,vehicle,0.745,1326,611,125,183
91,4,2024-06-06 09:02:00,person,0.956,250,383,246,174
92,4,2024-06-04 14:27:00,vehicle,0.792,1639,270,121,111
93,2,2024-06-01 14:04:00,person,0.611,1149,201,133,26
